,case_id,prefix_length,activities,resources,timestamps,next_activity
0,Case1,1,['Assign seriousness'],['Value 1'],"[Timestamp('2012-10-09 14:50:17+0000', tz='UTC')]",Take in charge ticket
1,Case1,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 1']","[Timestamp('2012-10-09 14:50:17+0000', tz='UTC'), Timestamp('2012-10-09 14:51:01+0000', tz='UTC')]",Take in charge ticket
2,Case1,3,"['Assign seriousness', 'Take in charge ticket', 'Take in charge ticket']","['Value 1', 'Value 1', 'Value 2']","[Timestamp('2012-10-09 14:50:17+0000', tz='UTC'), Timestamp('2012-10-09 14:51:01+0000', tz='UTC'), Timestamp('2012-10-12 15:02:56+0000', tz='UTC')]",Resolve ticket
3,Case10,1,['Assign seriousness'],['Value 2'],"[Timestamp('2010-02-10 08:50:20+0000', tz='UTC')]",Take in charge ticket
4,Case10,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2']","[Timestamp('2010-02-10 08:50:20+0000', tz='UTC'), Timestamp('2010-03-19 08:47:06+0000', tz='UTC')]",Resolve ticket
5,Case100,1,['Assign seriousness'],['Value 1'],"[Timestamp('2013-04-12 10:25:17+0000', tz='UTC')]",Take in charge ticket
6,Case100,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 9']","[Timestamp('2013-04-12 10:25:17+0000', tz='UTC'), Timestamp('2013-04-24 10:24:01+0000', tz='UTC')]",Require upgrade
7,Case100,3,"['Assign seriousness', 'Take in charge ticket', 'Require upgrade']","['Value 1', 'Value 9', 'Value 9']","[Timestamp('2013-04-12 10:25:17+0000', tz='UTC'), Timestamp('2013-04-24 10:24:01+0000', tz='UTC'), Timestamp('2013-04-24 15:51:11+0000', tz='UTC')]",Resolve ticket
8,Case1000,1,['Assign seriousness'],['Value 2'],"[Timestamp('2010-01-21 08:53:28+0000', tz='UTC')]",Assign seriousness
9,Case1000,2,"['Assign seriousness', 'Assign seriousness']","['Value 2', 'Value 2']","[Timestamp('2010-01-21 08:53:28+0000', tz='UTC'), Timestamp('2010-01-21 08:53:34+0000', tz='UTC')]",Take in charge ticket
10,Case1000,3,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2', 'Value 2']","[Timestamp('2010-01-21 08:53:28+0000', tz='UTC'), Timestamp('2010-01-21 08:53:34+0000', tz='UTC'), Timestamp('2010-01-21 08:53:40+0000', tz='UTC')]",Resolve ticket
11,Case1001,1,['Assign seriousness'],['Value 4'],"[Timestamp('2013-03-08 17:01:24+0000', tz='UTC')]",Take in charge ticket
12,Case1001,2,"['Assign seriousness', 'Take in charge ticket']","['Value 4', 'Value 4']","[Timestamp('2013-03-08 17:01:24+0000', tz='UTC'), Timestamp('2013-03-25 08:08:33+0000', tz='UTC')]",Resolve ticket
13,Case1002,1,['Assign seriousness'],['Value 19'],"[Timestamp('2010-08-25 10:36:10+0000', tz='UTC')]",Take in charge ticket
14,Case1002,2,"['Assign seriousness', 'Take in charge ticket']","['Value 19', 'Value 2']","[Timestamp('2010-08-25 10:36:10+0000', tz='UTC'), Timestamp('2010-08-27 07:34:45+0000', tz='UTC')]",Resolve ticket
15,Case1003,1,['Assign seriousness'],['Value 8'],"[Timestamp('2010-12-23 11:23:52+0000', tz='UTC')]",Take in charge ticket
16,Case1003,2,"['Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 2']","[Timestamp('2010-12-23 11:23:52+0000', tz='UTC'), Timestamp('2011-01-11 07:55:50+0000', tz='UTC')]",Resolve ticket
17,Case1004,1,['Assign seriousness'],['Value 1'],"[Timestamp('2011-09-21 07:09:20+0000', tz='UTC')]",Take in charge ticket
18,Case1004,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 9']","[Timestamp('2011-09-21 07:09:20+0000', tz='UTC'), Timestamp('2011-09-26 08:52:05+0000', tz='UTC')]",Resolve ticket
19,Case1005,1,['Assign seriousness'],['Value 8'],"[Timestamp('2010-12-22 08:35:14+0000', tz='UTC')]",Take in charge ticket
