,concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,case:concept:name,case:variant,case:variant-index,case:creator
0,Assign seriousness,complete,Value 2,2010-01-13 08:40:25+00:00,Assign seriousness,Value 2,Case3608,Variant 33,33,Fluxicon Disco
1,Take in charge ticket,complete,Value 2,2010-01-29 08:52:27+00:00,Take in charge ticket,Value 2,Case3608,Variant 33,33,Fluxicon Disco
2,Resolve ticket,complete,Value 2,2010-01-29 08:52:34+00:00,Resolve ticket,Value 2,Case3608,Variant 33,33,Fluxicon Disco
3,Closed,complete,Value 5,2010-02-13 08:52:48+00:00,Closed,Value 5,Case3608,Variant 33,33,Fluxicon Disco
4,Closed,complete,Value 5,2010-02-13 08:52:48+00:00,Closed,Value 5,Case3608,Variant 33,33,Fluxicon Disco
5,Assign seriousness,complete,Value 2,2010-01-13 12:26:04+00:00,Assign seriousness,Value 2,Case2748,Variant 1,1,Fluxicon Disco
6,Take in charge ticket,complete,Value 2,2010-01-19 09:26:05+00:00,Take in charge ticket,Value 2,Case2748,Variant 1,1,Fluxicon Disco
7,Resolve ticket,complete,Value 2,2010-01-19 09:28:50+00:00,Resolve ticket,Value 2,Case2748,Variant 1,1,Fluxicon Disco
8,Closed,complete,Value 5,2010-02-13 12:00:28+00:00,Closed,Value 5,Case2748,Variant 1,1,Fluxicon Disco
9,Assign seriousness,complete,Value 2,2010-01-13 12:30:37+00:00,Assign seriousness,Value 2,Case4284,Variant 219,219,Fluxicon Disco
10,Assign seriousness,complete,Value 2,2010-01-27 13:31:11+00:00,Assign seriousness,Value 2,Case4284,Variant 219,219,Fluxicon Disco
11,Take in charge ticket,complete,Value 2,2010-01-27 13:31:18+00:00,Take in charge ticket,Value 2,Case4284,Variant 219,219,Fluxicon Disco
12,Resolve ticket,complete,Value 2,2010-01-27 13:31:24+00:00,Resolve ticket,Value 2,Case4284,Variant 219,219,Fluxicon Disco
13,Take in charge ticket,complete,Value 2,2010-01-27 15:59:14+00:00,Take in charge ticket,Value 2,Case4284,Variant 219,219,Fluxicon Disco
14,Resolve ticket,complete,Value 2,2010-01-27 15:59:23+00:00,Resolve ticket,Value 2,Case4284,Variant 219,219,Fluxicon Disco
15,Closed,complete,Value 5,2010-02-11 15:59:39+00:00,Closed,Value 5,Case4284,Variant 219,219,Fluxicon Disco
16,Closed,complete,Value 16,2010-03-05 16:01:37+00:00,Closed,Value 16,Case4284,Variant 219,219,Fluxicon Disco
17,Assign seriousness,complete,Value 2,2010-01-13 13:09:31+00:00,Assign seriousness,Value 2,Case1534,Variant 33,33,Fluxicon Disco
18,Take in charge ticket,complete,Value 2,2010-01-26 09:50:48+00:00,Take in charge ticket,Value 2,Case1534,Variant 33,33,Fluxicon Disco
19,Resolve ticket,complete,Value 2,2010-01-26 09:50:55+00:00,Resolve ticket,Value 2,Case1534,Variant 33,33,Fluxicon Disco
20,Closed,complete,Value 5,2010-02-13 13:10:27+00:00,Closed,Value 5,Case1534,Variant 33,33,Fluxicon Disco
21,Closed,complete,Value 5,2010-02-13 13:10:27+00:00,Closed,Value 5,Case1534,Variant 33,33,Fluxicon Disco
22,Assign seriousness,complete,Value 2,2010-01-13 17:25:25+00:00,Assign seriousness,Value 2,Case406,Variant 4,4,Fluxicon Disco
23,Assign seriousness,complete,Value 2,2010-01-13 17:25:38+00:00,Assign seriousness,Value 2,Case406,Variant 4,4,Fluxicon Disco
24,Take in charge ticket,complete,Value 2,2010-01-14 11:42:31+00:00,Take in charge ticket,Value 2,Case406,Variant 4,4,Fluxicon Disco
25,Resolve ticket,complete,Value 2,2010-01-14 11:42:37+00:00,Resolve ticket,Value 2,Case406,Variant 4,4,Fluxicon Disco
26,Closed,complete,Value 5,2010-02-13 17:01:54+00:00,Closed,Value 5,Case406,Variant 4,4,Fluxicon Disco
27,Assign seriousness,complete,Value 2,2010-01-14 09:10:48+00:00,Assign seriousness,Value 2,Case4539,Variant 4,4,Fluxicon Disco
28,Assign seriousness,complete,Value 2,2010-01-14 09:11:02+00:00,Assign seriousness,Value 2,Case4539,Variant 4,4,Fluxicon Disco
29,Take in charge ticket,complete,Value 15,2010-01-20 09:15:20+00:00,Take in charge ticket,Value 15,Case4539,Variant 4,4,Fluxicon Disco
30,Resolve ticket,complete,Value 15,2010-01-20 09:26:05+00:00,Resolve ticket,Value 15,Case4539,Variant 4,4,Fluxicon Disco
31,Closed,complete,Value 5,2010-03-06 09:26:32+00:00,Closed,Value 5,Case4539,Variant 4,4,Fluxicon Disco
32,Assign seriousness,complete,Value 2,2010-01-14 09:52:50+00:00,Assign seriousness,Value 2,Case2118,Variant 1,1,Fluxicon Disco
33,Take in charge ticket,complete,Value 21,2010-02-09 15:01:11+00:00,Take in charge ticket,Value 21,Case2118,Variant 1,1,Fluxicon Disco
